,function,asset,send_rate,txNum,bytesize,time_taken,throughput
e1,read,1,101.3,100,100,1.092,100.7
e2,read,2,101.1,100,100,1.118,100.6
e3,read,3,101.5,100,100,1.092,100.6
e4,read,4,101.1,100,100,1.172,100.6
e5,read,5,101.2,100,100,1.091,100.6
e6,read,6,100.8,100,100,1.092,99.6
e7,read,7,101.4,100,100,1.092,100.9
e8,read,8,101.2,100,100,1.092,100.3
e9,read,9,100.9,100,100,1.093,99.9
e10,read,10,100.7,100,100,1.096,99.8
e11,read,20,101.2,100,100,1.09,100.7
e12,read,30,101.1,100,100,1.091,99.9
e13,read,40,101.4,100,100,1.092,100.8
e14,read,50,101.4,100,100,1.09,100.9
e15,read,60,101.2,100,100,1.091,100.7
e16,read,70,101.1,100,100,1.094,100.5
e17,read,80,101.3,100,100,1.091,100.8
e18,read,90,100.4,100,100,1.099,99.3
e19,read,100,96.5,100,100,1.141,94.6
e20,read,200,101.1,100,100,1.092,98.1
e21,read,300,101.1,100,100,1.091,100
e22,read,400,101.1,100,100,1.092,99.1
e23,read,500,101.1,100,100,1.091,99.8
e24,read,600,101.2,100,100,1.09,99.3
e25,read,700,101,100,100,1.093,100.4
e26,read,800,100.1,100,100,1.101,98.6
e27,read,900,101.3,100,100,1.092,100.3
e28,read,1000,97.1,100,100,1.133,92.1
e29,read,2000,101.2,100,100,1.093,98.1
e30,read,3000,98.8,100,100,1.318,78.7
e31,read,4000,101.2,100,100,1.092,100.4
e32,read,5000,95.6,100,100,1.248,82.8
e33,read,6000,101.2,100,100,1.09,100.5
e34,read,7000,101.1,100,100,1.091,100.3
e35,read,8000,101.3,100,100,1.092,100.3
e36,read,9000,101.1,100,100,1.092,99.9
e37,read,10000,101.1,100,100,1.091,97.9
e38,read,20000,101.1,100,100,1.092,100.2
e39,read,30000,101.6,100,100,1.293,83.8
e40,read,40000,101.1,100,100,1.093,94.2
e41,read,50000,99.3,100,100,1.112,92.3
e42,read,60000,101,100,100,1.092,94.2
e43,read,70000,101.2,100,100,1.09,93.5
e44,read,80000,101.2,100,100,1.092,92.5
e45,read,90000,101.5,100,100,1.091,96.9
e46,read,100000,101.2,100,100,1.091,95.9
e47,read,100,1,100,100,99.102,1
e48,read,100,2,100,100,49.602,2
e49,read,100,3,100,100,33.103,3
e50,read,100,4,100,100,24.852,4
e51,read,100,5.1,100,100,19.903,5
e52,read,100,6.1,100,100,16.602,6.1
e53,read,100,7.1,100,100,14.244,7.1
e54,read,100,8.1,100,100,12.478,8.1
e55,read,100,9.1,100,100,11.102,9.1
e56,read,100,10.1,100,100,10.002,10.1
e57,read,100,20.2,100,100,5.052,20.2
e58,read,100,30.3,100,100,3.403,30.2
e59,read,100,40.4,100,100,2.577,40.3
e60,read,100,50.6,100,100,2.08,50.5
e61,read,100,60.6,100,100,1.752,60.1
e62,read,100,70.7,100,100,1.516,70.4
e63,read,100,80.8,100,100,1.339,80.3
e64,read,100,90.9,100,100,1.202,89.7
e65,read,100,100.9,100,100,1.093,99.5
e66,read,100,111.2,100,100,1.002,110.5
e67,read,100,121.2,100,100,0.927,119.2
e68,read,100,131.6,100,100,0.864,130.5
e69,read,100,141,100,100,0.811,128
e70,read,100,135.7,100,100,0.939,116.1
e71,read,100,156,100,100,0.845,119
